tar_thresh,precision,recall,f1,tp,fp,fn
-17.587488174438477,0.12698412698412698,0.24,0.16608996539792387,48,330,152
-17.652061462402344,0.12928759894459102,0.245,0.1692573402417962,49,330,151
-17.668060302734375,0.13157894736842105,0.25,0.1724137931034483,50,330,150
-17.699987411499023,0.13123359580052493,0.25,0.1721170395869191,50,331,150
-17.735763549804688,0.13089005235602094,0.25,0.1718213058419244,50,332,150
-17.738262176513672,0.13054830287206268,0.25,0.17152658662092626,50,333,150
-17.755794525146484,0.13020833333333334,0.25,0.17123287671232876,50,334,150
-17.822845458984375,0.12987012987012986,0.25,0.17094017094017092,50,335,150
-17.824695587158203,0.13212435233160622,0.255,0.17406143344709896,51,335,149
-17.85936164855957,0.13178294573643412,0.255,0.17376490630323682,51,336,149
-17.868698120117188,0.13144329896907217,0.255,0.17346938775510207,51,337,149
